[42]{'policy_loss': -30.714, 'ent_loss': -0.176, 'mem_len': 45159}
[43]{'policy_loss': -31.349, 'ent_loss': -0.435, 'mem_len': 45455}
[44]{'policy_loss': -28.18, 'ent_loss': -0.499, 'mem_len': 45500}
[45]{'policy_loss': -29.878, 'ent_loss': -0.23, 'mem_len': 45627}
[46]{'policy_loss': -29.17, 'ent_loss': -0.397, 'mem_len': 45922}
[47]{'policy_loss': -30.222, 'ent_loss': -0.541, 'mem_len': 46077}
[48]{'policy_loss': -29.139, 'ent_loss': -0.513, 'mem_len': 46252}
[49]{'policy_loss': -28.563, 'ent_loss': -0.384, 'mem_len': 46482}
[50]{'policy_loss': -29.358, 'ent_loss': -0.451, 'mem_len': 46621}
[51]{'policy_loss': -29.83, 'ent_loss': -0.237, 'mem_len': 46819}
[52]{'policy_loss': -30.757, 'ent_loss': -0.012, 'mem_len': 46943}
[53]{'policy_loss': -31.183, 'ent_loss': -0.08, 'mem_len': 47100}
[54]{'policy_loss': -28.609, 'ent_loss': -0.616, 'mem_len': 47413}
[55]{'policy_loss': -30.708, 'ent_loss': -0.622, 'mem_len': 47571}
[56]{'policy_loss': -30.571, 'ent_loss': -0.333, 'mem_len': 47988}
[57]{'policy_loss': -31.039, 'ent_loss': -0.362, 'mem_len': 48170}
[58]{'policy_loss': -31.44, 'ent_loss': -0.37, 'mem_len': 48353}
[59]{'policy_loss': -31.656, 'ent_loss': -0.438, 'mem_len': 48504}
[60]{'policy_loss': -28.693, 'ent_loss': -0.392, 'mem_len': 48639}
[61]{'policy_loss': -28.871, 'ent_loss': -0.289, 'mem_len': 48871}
[62]{'policy_loss': -30.733, 'ent_loss': -0.304, 'mem_len': 49045}
[63]{'policy_loss': -30.571, 'ent_loss': -0.554, 'mem_len': 49328}
[64]{'policy_loss': -30.074, 'ent_loss': -0.413, 'mem_len': 49609}
[65]{'policy_loss': -31.644, 'ent_loss': -0.33, 'mem_len': 49764}
[66]{'policy_loss': -30.131, 'ent_loss': -0.515, 'mem_len': 49982}
[67]{'policy_loss': -28.221, 'ent_loss': -0.422, 'mem_len': 49983}
[68]{'policy_loss': -31.195, 'ent_loss': -0.098, 'mem_len': 50163}
[69]{'policy_loss': -30.84, 'ent_loss': -0.352, 'mem_len': 50314}
[70]{'policy_loss': -30.893, 'ent_loss': -0.352, 'mem_len': 50527}
[71]{'policy_loss': -29.791, 'ent_loss': -0.591, 'mem_len': 50528}
[72]{'policy_loss': -30.568, 'ent_loss': -0.308, 'mem_len': 50807}
[73]{'policy_loss': -30.334, 'ent_loss': -0.429, 'mem_len': 51127}
[74]{'policy_loss': -30.436, 'ent_loss': -0.583, 'mem_len': 51403}
[75]{'policy_loss': -30.131, 'ent_loss': -0.473, 'mem_len': 51640}
[76]{'policy_loss': -28.605, 'ent_loss': -0.455, 'mem_len': 51915}
[77]{'policy_loss': -29.576, 'ent_loss': -0.413, 'mem_len': 52074}
[78]{'policy_loss': -30.52, 'ent_loss': -0.191, 'mem_len': 52272}
[79]{'policy_loss': -30.068, 'ent_loss': -0.42, 'mem_len': 52566}
[80]{'policy_loss': -29.536, 'ent_loss': -0.496, 'mem_len': 52730}
[81]{'policy_loss': -31.05, 'ent_loss': -0.539, 'mem_len': 52864}
[82]{'policy_loss': -29.327, 'ent_loss': -0.475, 'mem_len': 53042}
[83]{'policy_loss': -29.844, 'ent_loss': -0.648, 'mem_len': 53332}
[84]{'policy_loss': -30.052, 'ent_loss': -0.518, 'mem_len': 53467}
[85]{'policy_loss': -30.654, 'ent_loss': -0.331, 'mem_len': 53778}
[86]{'policy_loss': -29.994, 'ent_loss': -0.419, 'mem_len': 53910}
[87]{'policy_loss': -30.332, 'ent_loss': -0.334, 'mem_len': 54129}
[88]{'policy_loss': -31.792, 'ent_loss': -0.307, 'mem_len': 54130}
[89]{'policy_loss': -30.958, 'ent_loss': -0.202, 'mem_len': 54305}
[90]{'policy_loss': -30.907, 'ent_loss': -0.136, 'mem_len': 54497}
[91]{'policy_loss': -29.767, 'ent_loss': -0.405, 'mem_len': 54803}
[92]{'policy_loss': -30.748, 'ent_loss': -0.44, 'mem_len': 55116}
[93]{'policy_loss': -33.317, 'ent_loss': -0.457, 'mem_len': 55528}
[94]{'policy_loss': -31.141, 'ent_loss': -0.263, 'mem_len': 55825}
[95]{'policy_loss': -31.448, 'ent_loss': -0.242, 'mem_len': 55956}
